biblio_code;Auteurs;Reference ;Lien/doi;
1;Šitnerová_2020;Šitnerová, I., Beneš, J., Kottova, B., Bumerl, J., Majerovi?ová, T., Molnarova, K., 2020. ARCHEOLOGICKÝ VÝZKUM PLUŽIN A ZEM?D?LSKÝCH TERAS JAKO FENOMÉNU HISTORICKÉ KRAJINY ?ESKÉ REPUBLIKY (Archaeological research into field systems and agrarian terraces as the phenomena of the historical landscape in the Czech Republic). Archaeologia Historica 45, 141–165. https://doi.org/10.5817/AH2020-1-6;https://doi.org/10.5817/AH2020-1-6;
2;A.Ozer_1969;A. OZER, «Microrelief et dessin parcellaire», Bulletin de la Société Géographique de Liège [En ligne], 5 (1969/1) ;"http://bibli-cloud15.segi.ulg.ac.be/0770-7576/index.php?id=4862.
";
3;A.Schneider_2025;Schneider, A., Raab, T., Raab, A., Bonhage, A., 2025. Legacies of Past Land Use: Mapping Anthropogenic Landforms in Forest Areas of Eastern Bavaria, Germany. Geoarchaeology 40, e22032. https://doi.org/10.1002/gea.22032;https://doi.org/10.1002/gea.22032;
4.2;Affeck_2022;Affek, A.N., Wolski, J., Latocha, A., Zachwatowicz, M., Wieczorek, M., 2022. The use of LiDAR in reconstructing the pre-World War II landscapes of abandoned mountain villages in southern Poland. Archaeological Prospection 29, 157–173. https://doi.org/10.1002/arp.1846;https://onlinelibrary.wiley.com/doi/10.1002/arp.1846;
4.3;Affeck_2017;Affek, A., 2016. Past Carpathian landscape recorded in the microtopography. Geographia Polonica 89.; https://doi.org/10.7163/GPol.0062;
4.1;Affek_2015;Affek, A., 2015. Exploring past Carpathian landscape: the application of LiDAR and archival cadastral maps. Archaeologia Polona 53, 243–247.;https://journals.iaepan.pl/apolona/article/view/320;
5;AlcÃ¡ntara_2017;Alcántara, V., Don, A., Well, R., Nieder, R., 2017. Legacy of medieval ridge and furrow cultivation on soil organic carbon distribution and stocks in forests. CATENA 154, 85–94. https://doi.org/10.1016/j.catena.2017.02.013;https://www.sciencedirect.com/science/article/abs/pii/S034181621730067X?via%3Dihub;
6;Banaszek_2015;Banaszek, ?., 2015. Przesz?e krajobrazy w chmurze punktów. https://doi.org/10.5281/zenodo.239061;https://zenodo.org/records/239061;
7;BistÃ¡k_2024;High Hopes: On Settlement Strategies in the Tribe? Mountains (West Slovakia);https://doi.org/10.31577/szausav.2024.71.14;
8;Bonhageetal_2025;Bonhage, A., et al. “An Initial Geopedological Survey and Description of Historic Raised Beds in North-Western Ireland.” Geomorphology, vol. 481, July 2025, p. 109778.DOI.org (Crossref),.;https://doi.org/10.1016/j.geomorph.2025.109778;
9;Callot_1977;Callot, H.-J., 1977. La plaine d’Alsace, modelé agraire et parcellaire. Nancy III.;https://bu.unistra.fr/opac/resource/la-plaine-dalsace-modele-agraire-et-parcellaire/BUS04833832;
10;Chartin_2011;Chartin, C., Bourennane, H., Salvador-Blanes, S., Hinschberger, F., Macaire, J.-J., 2011. Classification and mapping of anthropogenic landforms on cultivated hillslopes using DEMs and soil thickness data — Example from the SW Parisian Basin, France. Geomorphology 135, 8–20. https://doi.org/10.1016/j.geomorph.2011.07.020;https://www.sciencedirect.com/science/article/abs/pii/S0169555X11003746?via%3Dihub;
11;Chouquer_2025;Chouquer, Gérard. La typologie historique des parcellaires agraires. Profils français et européens. Association française d’archéogéographie, 2025;https://archeogeo.hypotheses.org/3925;
12;Dion_1983;Dion, Raymond. “Un Exemple de Modèle Agraire?: Les Champs Bombés Dans La Plaine de La Lys.” Hommes et Terres Du Nord, vol. 2, no. 1, 1983, pp. 1–12;https://doi.org/10.3406/htn.1975.1506;
13;Dobrovodska_2023;Dobrovodská, M., Kanka, R., Gajdoš, P., Krištín, A., Kollár, J., Stašiov, S., Lieskovsky, J., 2023. Factors affecting the biodiversity of historical landscape elements: detailed analyses from three case studies in Slovakia. Environmental monitoring and assessment 195, 674.;https://link.springer.com/article/10.1007/s10661-023-11035-w;
14;Duma_2020;Duma, P., Latocha, A., ?uczak, A., Piekalski, J., 2020. Stone Walls as a Characteristic Feature of the Cultural Landscape of the Izera Mountains, southwestern Poland. Int J Histor Archaeol 24, 22–43. ;https://www.researchgate.net/publication/332402006_Stone_Walls_as_a_Characteristic_Feature_of_the_Cultural_Landscape_of_the_Izera_Mountains_southwestern_Poland;
15;Dupoueyetal;Dupouey, J. L., et al. “Irreversible Impact of Past Land Use on Forest Soils and Biodiversity.” Ecology, vol. 83, no. 11, 2002, pp. 2978–84, ;https://doi.org/10.2307/3071833;
16;Elznicova_2019;Elznicova, J., Zacharová, J., Machová, I., T?mová, Š., Famera, M., Daniels, J., Matys Grygar, T., 2019. Traces of past agricultural practices in hilly regions of the Czech Republic. ;https://www.researchgate.net/publication/337949154_Traces_of_past_agricultural_practices_in_hilly_regions_of_the_Czech_Republic?channel=doi&linkId=5df7a5d892851c836482d589&showFulltext=true;
17;Epiacum_Research_Framework;Epiacum_Research_Framework, 2018;https://epiacumheritage.org/wp-content/uploads/2024/05/Epiacum-Research-Framework.pdf;
18;EplÃ©nyi_2013;Eplényi A., 2013. Kalotaszeg tájkarakter elemzése (PhD). Corvinus University of Budapest, Budapest.;https://phd.lib.uni-corvinus.hu/676/;
19;Froehlicher_2016;Froehlicher, Lucie. Les Haies, Une Alternative à l’openfield Dans Les Zones Lœssiques d’Alsace???: Perspectives Historiques, Systèmes Agraires Du Futur, Érosion, Effets Sur Le Colluvionnement et Le Stockage Du Carbone. With Dominique Schwartz, 2016. Strasbourg, These de doctorat. theses.fr, ;https://theses.fr/2016STRAH009;
20;Fruchart_Chouquer_2025_Tome2_p118;Chouquer, Gérard. La typologie historique des parcellaires agraires. Profils français et européens. Association française d’archéogéographie, 2025, https://archeogeo.hypotheses.org/3925. 2 vols.;https://archeogeo.hypotheses.org/3925;
21;Gils_2022;van Gils, Hein, and T. Kasielke. “Historical Parcellation and Ridge-and-Furrow Relics of Open Strip-Fields in the North-West European Lowlands.” Landscape History, vol. 43, no. 2, July 2022, pp. 77–102. Taylor and Francis+NEJM, https://doi.org/10.1080/01433768.2022.2143158.;https://www.researchgate.net/publication/366030744_Historical_parcellation_and_ridge-and-furrow_relics_of_open_strip-fields_in_the_north-west_European_lowlands;
